iata,city,secondary
GDE,Gode/Iddidole,Ethopia
GRQ,Groningen,Netherlands
GUB,Guerrero Negro,Mexico
HCQ,Halls Creek,Australia
EVE,Harstad-Narvik,Norway
IOP,Ioma,Papua New Guinea
JER,Jersey,United Kingdom
JCK,Julia Creek,Australia
KUL,Kuala Lumpur,Malaysia
KUQ,Kuri,Papua New Guinea
LBJ,Labuan Bajo,Indonesia
LSP,Las Piedras,Venezuela
LNO,Leonora,WA Australia
LSY,Lismore,NS Australia
LOF,Loen,Marshall Islands
HAP,Long Island,Australia
LGL,Long Lellang,Malaysia
ODN,Long Seridan,Malaysia
LDE,Lourdes/Tarbes,France
LUX,Luxembourg,Luxembourg
LYS,Lyon,France - Satolas
HGN,Mae Hong Son,Thailand
MXT,Maintirano,Madagascar
MHH,Marsh Harbour,Bahamas
MKS,Mekane Selam,Ethiopia
MDZ,Mendoza,MD Argentina
MQL,Mildura,VI Australia
MTF,Mizan Teferi,Ethiopia
MNI,Montserrat,Montserrat
TVA,Morafenobe,Madagascar
MXH,Moro,Papua New Guinea
MUA,Munda,Solomon Islands
MFG,Muzaffarabad,Pakistan
NKG,Nanking/Nanjing,China
NVT,Navegantes,SC Brazil
NQN,Neuquen,NE Argentina
RPM,Ngukurr,NT Australia
NJC,Nizhnevartovsk,Russia
NKC,Nouakchott,Mauritania
PMO,Palermo,Sicily Italy
PMA,Pemba,Tanzania - Wawi
PDS,Piedras Negras,Mexico
PMG,Ponta Pora,MS Brazil
WPB,Port Berge,Madagascar
PHC,Port Harcourt,Nigeria
PSS,Posadas,MI Argentina
PRG,Prague,Czech Republic
PVK,Preveza/Lefkas,Greece
PEM,Puerto Maldonado,Peru
PSZ,Puerto Suarez,Bolivia
FNJ,Pyongyang,North Korea
AQI,Qaisumah,Saudi Arabia
REG,Reggio Calabria,Italy
RBR,Rio Branco,AC Brazil
RIG,Rio Grande,RS Brazil
CIA,Rome,Italy - Ciampino
ROS,Rosario,SF Argentina
RLG,Rostock-Laage,Germany
RTM,Rotterdam,Netherlands
SLU,Saint Lucia,ST. LUCIA
SNO,Sakon Nakhon,Thailand
SVZ,San Antonio,Venezuela
SAI,San Marino,San Marino
NDY,Sanday,United Kingdom
SSH,Sharm El Sheikh,Egypt
LED,St. Petersburg,Russia
NTY,Sun City,South Africa
WTA,Tambohorano,Madagascar
TIZ,Tari,Papua New Guinea
TIM,Tembagapura,Indonesia
TTQ,Tortuquero,Costa Rica
TUC,Tucuman,TU Argentina
TFI,Tufi,Papua New Guinea
UDI,Uberlandia,MG Brazil
UTN,Upington,South Africa
URG,Uruguaiana,RS Brazil
USH,Ushuaia,TF Argentina
VNX,Vilanculos,Mozambique
WGE,Walgett,NS Australia
WSU,Wasu,Papua New Guinea
WHK,Whakatane,New Zealand
WRE,Whangarei,New Zealand
WYA,Whyalla,SA Australia
WVN,Wilhelmshaven,Germany
WJA,Woja,Marshall Islands
WUD,Wudinna,SA Australia
WYN,Wyndham,WA Australia
ZAM,Zamboanga,Philippines
ABT,Al-Baha,Saudi Arabia
HVA,Analalava,Madagascar
WAQ,Antsalova,Madagascar
WAI,Antsohihy,Madagascar
AMH,Arba Mintch,Ethiopia
AKL,Auckland,New Zealand
AKS,Auki,Solomon Islands
AYQ,Ayers Rock,Australia
BPN,Balikpapan,Indonesia
BTJ,Banda Aceh,Indonesia
BCI,Barcaldine,Australia
BRR,Barra,United Kingdom
BPY,Besalampy,Madagascar
BVI,Birdsville,Australia
OXB,Bissau,Guinea-Bissau
BLT,Blackwater,Australia
BHE,Blenheim,New Zealand
CNF,Blo Horizonte,Brazil
BVC,Boa Vista,Cape Verde
BOX,Borroloola,Australia
BWE,Braunschweig,Denmark
BWQ,Brewarrina,Australia
BHG,Brus Laguna,Honduras
BGA,Bucaramanga,Colombia
CXJ,Caxias Do Sul,Brazil
CJJ,Cheongju,South Korea
CJS,Ciudad Juarez,Mexico
CMK,Club Makokola,Malawi
CNQ,Corrientes,Argentina
CBO,Cotabato,Philippines
CMA,Cunnamulla,Australia
DBT,Debra Tabor,Ethiopia
EMO,Emo,Papua New Guinea
XFW,Finkenwerder,Germany
FLN,Florianopolis,Brazil
FRW,Francistown,Botswana
FUN,Funafuti Atol,Tuvalu
GGN,Gagnoa,Cote D'Ivoire
GET,Geraldton,Australia
GIS,Gisborne,New Zealand
GZO,Gizo,Solomon Islands
GLI,Glen Innes,Australia
JGR,Groennedal,Greenland
GYA,Guayaramerin,Bolivia
URY,Gurayat,Saudi Arabia
HLZ,Hamilton,New Zealand
HAQ,Hanimaadhoo,Maldives
HVB,Hervey Bay,Australia
HKK,Hokitika,New Zealand
HID,Horn Island Australia,
HFN,Hornafjordur,Iceland
IHU,Ihu,Papua New Guinea
ILY,Islay,United Kingdom
JEJ,Jeh,Marshall Islands
KDM,Kaadedhdhoo,Maldives
LBD,Khudzhand,Tajikistan
JRO,Kilimanjaro,Tanzania
KCM,Kahramanmaras,Turkey
LAE,Lae,Papua New Guinea
LPP,Lappeenranta,Finland
LBA,Leeds,United Kingdom
LPU,Long Apung,Indonesia
LBW,Long Bawan,Indonesia
MKY,Mackay,QL Australia
MED,Madinah,Saudi Arabia
WMP,Mampikony,Madagascar
MNJ,Mananjary,Madagascar
MAY,Mangrove Cay,Bahamas
MGH,Margate,South Africa
MAZ,Mayaguez,Puerto Rico
LIN,Milan,Italy - Linate
MDP,Mindiptana,Indonesia
OKU,Mokuti Lodge,Namibia
MNY,Mono,Solomon Islands
MOQ,Morondava,Madagascar
MYA,Moruya,NS Australia
JNN,Nanortalik,Greenland
UAK,Narsarsuaq,Greenland
ZNE,Newman,WA Australia
NDB,Nouadhiba,Mauritania
NYN,Nyngan,NS Australia
PAJ,Para Chinar,Pakistan
PRA,Parana,ER Argentina
PNZ,Petrolina,PE Brazil
PHS,Phitsanulok,Thailand
PIX,Pico Island,Portugal
POT,Port Antonio,Jamaica
PAP,Port Au Prince,Haiti
PXO,Porto Santo,Portugal
PSU,Putussibau,Indonesia
UEL,Quelimane,Mozambique
RVD,Rio Verde,GO Brazil
QFZ,Saarbruecken,Germany
SSA,Salvadore,BA Brazil
BRC,San Carlos,Argentina
SJU,San Juan,Puerto Rico
AFA,San Rafael,Argentina
ZSA,San Salvador,Bahamas
SMA,Santa Maria,Portugal
SMR,Santa Marta,Colombia
EGM,Sege,Solomon Islands
SZK,Skukuza,South Africa
TZN,South Andros,Bahamas
AXP,Spring Point,Bahamas
SML,Stella Maris,Bahamas
TNX,Stung Treng,Cambodia
URT,Surat Thani,Thailand
TBT,Tabatinga,AM Brazil
TAC,Tacloban,Philippines
TNO,Tamarindo,Costa Rica
TMH,Tanahmerah,Indonesia
TRG,Tauranga,New Zealand
TGU,Tegucigalpa,Honduras
TXM,Teminabuan,Indonesia
TIY,Tioljikja,Mauritania
TRE,Tiree,United Kingdom
TRZ,Tiruchirapally,India
HND,Tokyo,Japan - Haneda
NRT,Tokyo,Japan - Narita
TCB,Treasure Cay,Bahamas
REL,Trelew,CB Argentina
TMT,Trombetas,PA Brazil
ULN,Ulaanbaatar,Mongolia
VAT,Vatomatry,Madagascar
VDM,Viedma,RN Argentina
VTZ,Vishakhapatnam,India
VPN,Vopnafjordur,Iceland
WAG,Wanganui,New Zealand
WUG,Wau,Papua New Guinea
WSZ,Westport,New Zealand
WUN,Wiluna,WA Australia
WIN,Winton,QL Australia
JOG,Yogyakarta,Indonesia
ADD,Addis Ababa,Ethopia
ASJ,Amami O Shima,Japan
AZN,Andizhan,Uzbekistan
ANM,Antalaha,Madagascar
BCD,Bacolod,Philippines
BHV,Bahawalpur,Pakistan
BLA,Barcelona,Venezuela
BBM,Battambang,Cambodia
BUI,Bokondini,Indonesia
BSB,Brasilia,DF Brazil
BTS,Bratislava,Slovakia
BGI,Bridgetown,Barbados
BDB,Bundaberg,Australia
BUC,Burketown,Australia
CGR,Campo Grande,Brazil
CVQ,Carnarvon,Australia
RIK,Carrillo,Costa Rica
CTC,Catamarca,Argentina
CNX,Chiang Mai,Thailand
CEI,Chiang Rai,Thailand
AVI,Ciego De Avila,Cuba
CNJ,Cloncurry,Australia
COC,Concordia,Argentina
CZL,Constantine,Algeria
OOM,Cooma,NS Australia
CNB,Coonamble,Australia
DMM,Dammam,Saudi Arabia
DTD,Datadawai,Indonesia
DEM,Dembidollo,Ethiopia
DEA,Dera Ghazi,Pakistan
DPO,Devonport,Australia
DLY,Dillons Bay,Vanuata
DPL,Dipolog,Philippines
DMD,Doomadgee,Australia
DUD,Dunedin,New Zealand
DUR,Durban,South Africa
DYU,Dushanbe,Tajikistan
EOI,Eday,United Kingdom
EGS,Egilsstadir,Iceland
SVX,Ekaterinburg,Russia
EHL,El Bolsan,Argentina
EMX,El Maiten,Argentina
EWI,Enarotali,Indonesia
EPR,Esperance,Australia
LYP,Faisalabad,Pakistan
FUE,Fuerteventura,Spain
GAN,Gan Island,Maldives
ELQ,Gassim,Saudi Arabia
GGT,George Town,Bahamas
GRJ,George,South Africa
GIB,Gibraltar,Gibraltar
GLT,Gladstone,Australia
GTO,Gorontalo,Indonesia
KWJ,Gwangju,South Korea
KVD,Gyandzha,Azerbaijan
ZHQ,Halberstadt,Germany
HDF,Heringsdorf,Germany
HKG,Hong Kong,Hong Kong
HGD,Hughenden,Australia
JAV,Ilulissat,Greenland
INX,Inanwatan,Indonesia
JCR,Jacareacanga,Brazil
JED,Jeddah,Saudi Arabia
JDF,Juiz De Fora,Brazil
KAT,Kaitaia,New Zealand
KBR,Kota Bharu,Malaysia
SUF,Lamezia-Terme,Italy
LKA,Larantuka,Indonesia
LUC,Laucala Island,Fiji
LGP,Legaspi,Philippines
VXC,Lichinga,Mozambique
LDB,Londrina,PR Brazil
LBP,Long Banga,Malaysia
MQF,Magnitogorsk,Russia
VVB,Mahanoro,Madagascar
WVK,Manakara,Madagascar
WMR,Mananara,Madagascar
MKW,Manokwari,Indonesia
MAR,Maracaibo,Venezuela
JSU,Mariitsoq,Greenland
MBT,Masbate,Philippines
MRU,Mauritius,Mauritius
PMF,Milan,Italy - Parma
ONI,Moanamani,Indonesia
MJD,Mohenjodaro,Denmark
MBJ,Montego Bay,Jamaica
MRZ,Moree,NS Australia
ISA,Mount Isa,Australia
NMA,Namangan,Uzbekistan
NAW,Narathiwat,Thailand
NFG,Nefteyugansk,Russia
EAM,Nejran,Saudi Arabia
NGE,Ngaoundere,Cameroon
NOS,Nossi-be,Madagascar
NOZ,Novokuznetsk,Russia
NLD,Nuevo Laredo,Mexico
OER,Ornskoldsvik,Sweden
ITM,Osaka,Japan - Itami
UVE,Ouvea,New Caledonia
PLM,Palembang,Indonesia
ORY,Paris,France - Orly
PHB,Parnaiba,PI Brazil
PWQ,Pavlodar,Kazakhstan
PKU,Pekanbaru,Indonesia
PES,Petrozavodsk,Russia
PNH,Phnom Penh,Cambodia
PNK,Pontianak,Indonesia
BPS,Porto Seguro,Brazil
ULP,Quipi,QL Australia
RJH,Rajshahi,Bangladesh
RBE,Ratanakiri,Cambodia
RAZ,Rawala Kot,Pakistan
RUH,Riyadh,Saudi Arabia
RIY,Riyan Mukalla,Yemen
ROT,Rotorua,New Zealand
XPZ,Saint Tropez,France
EAS,San Sebastian,Spain
STM,Santarem,PA Brazil
GEL,Santo Angelo,Brazil
SLZ,Sau Luiz,MA Brazil
CIT,Shimkent,Kazakhstan
SOC,Solo City,Indonesia
UVF,St. Lucia,St. Lucia
THS,Sukhotthai,Thailand
TMR,Tamanrasset,Algeria
TMM,Tamatave,Madagascar
TMC,Tambolaka,Indonesia
TRO,Taree,NS Australia
TAS,Tashkent,Uzbekistan
TEU,Te Anau,New Zealand
THE,Teresina,PI Brazil
SKG,Thessaloniki,Greece
TGM,Tirgu Mures,Romania
TMG,Tomanggong,Malaysia
TOU,Touho,New Caledonia
TUI,Turaif,Saudi Arabia
UTH,Udon Thani,Thailand
ULD,Ulundi,South Africa
UTT,Umtata,South Africa
JUV,Upernavik,Greenland
XVS,Valenciennes,France
VUP,Valledupar,Colombia
VAG,Varginha,MG Brazil
VQS,Vieques,Puerto Rico
VSA,Villahermosa,Mexico
WEI,Weipa,QL Australia
WIC,Wick,United Kingdom
OGN,Yonaguni Jima,Japan
OUZ,Zouerate,Mauritania
AGV,Acarigua,Venezuela
ADL,Adelaide,Australia
AER,Adler/Sochi,Russia
AHU,Al Hoceima,Morocco
AOR,Alorsetar,Malaysia
IVA,Ambanja,Madagascar
APW,Apia,Western Samoa
FGI,Apia,Western Samoa
ARM,Armidale,Australia
BFQ,Bahia Pinas,Panama
BDH,Bandar Lengeh,Iran
BZL,Barisal,Bangladesh
BHS,Bathurst,Australia
BEU,Bedourie,Australia
BKS,Bengkulu,Indonesia
BHH,Bisha,Saudi Arabia
FRU,Bishkek,Kyrgyzstan
BKQ,Blackall,Australia
HBE,Borg El Arab,Egypt
BNN,Bronnoysund,Norway
BHK,Bukhara,Uzbekistan
BXU,Butuan,Philippines
CRD,Camodoro,Argentina
CBR,Canberra,Australia
CCF,Carcassonne,France
CTG,Cartagena,Colombia
CUP,Carupani,Venezuela
CEE,Cherepovets,Russia
CEE,Chevepovets,Russia
CBB,Cochabamba,Bolivia
CTN,Cooktown,Australia
CPH,Copenhagen,Denmark
CCV,Craig Cove,Vanuatu
DIR,Dire Dawa,Ethiopia
VIG,El Vigia,Venezuela
ESM,Esmeraldas,Ecuador
FAJ,Fajard,Puerto Rico
FEG,Fergana,Uzbekistan
FLA,Florencia,Colombia
ZBJ,Fredericia,Denmark
GVA,Geneva,Switzerland
GIZ,Gizan,Saudi Arabia
GLF,Golfito,Costa Rica
OYA,Goya,CR Argentina
GFF,Griffith,Australia
GDL,Guadalajara,Mexico
KUV,Gunsan,South Korea
HAC,Hachijo Jima,Japan
HDB,Heidelberg,Germany
HOF,Hofuf,Saudi Arabia
HVG,Honningsvag,Norway
IVR,Inverell,Australia
IFJ,Isafjordur,Iceland
ISB,Islamabad,Pakistan
JAG,Jacobabad,Pakistan
DJJ,Jayapura,Indonesia
JSR,Jessore,Bangladesh
JPA,Joao Pessoa,Brazil
ABK,Kabri Dar,Ethiopia
KCF,Kadanwari,Pakistan
KAX,Kalbarri,Australia
KGD,Kaliningrad,Russia
KBX,Kambuaya,Indonesia
KBF,Karubaga,Indonesia
USM,Koh Samui,Thailand
KWG,Krivoy Rog,Ukraine
IRJ,La Rioja,Argentina
LGQ,Lago Agrio,Ecuador
LDU,Lahadbatu,Malaysia
LUV,Langguri,Indonesia
LIR,Liberia,Costa Rica
LIF,Lifa,New Caledonia
LJG,Lijiang City,China
LVI,Livingstone,Zambia
LJU,Ljubliana,Slovenia
LPQ,Luang Prabang,Laos
LUG,Lugano,Switzerland
MJN,Majunga,Madagascar
MCX,Makhachkala,Russia
MNL,Manila,Philippines
MZL,Manizales,Colombia
MEE,Mare,New Caledonia
MII,Marilia,SP Brazil
MGF,Maringa,PR Brazil
MUH,Mersa Matruh,Egypt
MEX,Mexico City,Mexico
MMD,Minami Daito,Japan
MCM,Monte Carlo,Monaco
MVD,Montevideo,Uruguay
MPL,Montpellier,France
MXM,Morambe,Madagascar
APL,Nampula,Mozambique
INU,Nauru Island,Nauru
WNS,Nawabshah,Pakistan
NHA,Nha Trang,Viet Nam
NTT,Niuatoputapu,Tonga
OMD,Oranjemund,Namibia
HOV,Orsta-Volda,Norway
OZZ,Ouarzazate,Morocco
PET,Pelotas,RS Brazil
THU,Pituffik,Greenland
PNI,Pohnpei,Micronesia
PNR,Pointe Noire,Congo
PMV,Porlamar,Venezuela
PVO,Portoviejo,Ecuador
PMC,Puerto Montt,Chile
PUQ,Punta Arenas,Chile
PND,Punta Gorda,Belize
JJU,Qaqortoq,Greenland
RAH,Rafha,Saudi Arabia
RSD,Rock Sound,Bahamas
RMA,Roma,QL Australia
SVB,Sambaua,Madagascar
VVI,Santa Cruz,Bolivia
RIA,Santa Maria,Brazil
SXK,Saumlaki,Indonesia
SVL,Savonlinna,Finland
SRG,Semarang,Indonesia
REP,Siem Reap,Cambodia
JHS,Sisimiut,Greenland
DWB,Soalala,Madagascar
EBU,St. Etienne,France
SUB,Surabaya,Indonesia
TUU,Tabuk,Saudi Arabia
TGJ,Tiga,New Caledonia
TIU,Timaru,New Zealand
THN,Trollhattan,Sweden
TUV,Tucupita,Venezuela
TUR,Tucurui,PA Brazil
UBA,Uberaba,MG Brazil
UGC,Urgench,Uzbekistan
UMD,Uummannaq,Greeland
VLN,Valencia,Venezuela
VII,Vinh City,Viet Nam
OGZ,Vladikavkaz,Russia
VVO,Vladivostok,Russia
VOH,Vohemar,Madagascar
WGP,Waingapo,Indonesia
WVB,Walvis Bay,Namibia
WKA,Wanaka,New Zealand
AGE,Wangerooge,Germany
EJH,Wedjh,Saudi Arabia
GWT,Westerland,Germany
XKH,Xieng Khouang,Laos
YNB,Yanbu,Saudi Arabia
OZH,Zaporozhye,Ukraine
ZRH,Zurich,Switzerland
JEG,Aasiaat,Greenland
AHB,Abha,Saudi Arabia
AKX,Almaty,Kazakhstan
AXA,Anguilla,Anguilla
ANF,Antofagasta,Chile
APO,Apartado,Colombia
RAE,Arar,Saudi Arabia
ARH,Arkangelsk,Russia
AJR,Arvidsjaur,Sweden
TSE,Astana,Kazakhstan
ASU,Asuncion,Paraguay
GUW,Atyrau,Kazakhstan
AUU,Aurukun,Australia
AYW,Ayawaki,Indonesia
BJR,Baharpar,Ethiopia
BAY,Baia Mare,Romania
BNK,Ballina,Australia
BND,Bandar Abbas,Iran
BDO,Bandung,Indonesia
BNS,Barinas,Venezuela
BSO,Basco,Philippines
BSL,Basel,Switzerland
BJF,Batsfijord,Norway
BLG,Belaga,Mozambique
BBI,Bhubaneswar,India
NTI,Bintuni,Indonesia
BZV,Brazzaville,Congo
BJM,Bujumbura,Burundi
BUQ,Bulawayo,Zimbabwe
BFV,Buri Ram,Thailand
CAS,Canaima,Venezuela
CAP,Cap Haitien,Haiti
CCS,Caracas,Venezuela
CAQ,Caucasia,Colombia
CHX,Changuinda,Panama
CSY,Cheboksary,Russia
CEK,Chelybinsk,Russia
CMB,Colombo,Sri Lanka
CND,Constanta,Romania
COR,Cordoba,Argentina
CVJ,Cuernavaca,Mexico
TAE,Daegu,South Korea
DIY,Diyarbakir,Turkey
JIB,Djibouti,Djibouti
DBV,Dubrovnik,Croatia
ESR,El Salvador,Chile
EYP,El Yopal,Colombia
EBA,Elba Island,Italy
EMD,Emerald,Australia
ENF,Enontekio,Finland
FKQ,Fak Fak,Indonesia
FLF,Flensburg,Germany
FMA,Formosa,Argentina
MVB,Franceville,Gabon
GBE,Gaborone,Botswana
GPS,Galapagos,Ecuador
GEO,Georgetown,Guyana
GFN,Grafton,Australia
BJX,Guanajuato,Mexico
GYE,Guayaquil,Ecuador
HAS,Hail,Saudi Arabia
HFT,Hammerfest,Norway
HGL,Helgoland,Germany
HMO,Hermosillo,Mexico
HUV,Hudiksvall,Sweden
IMP,Imperatriz,Brazil
IAM,In Amenas,Algeria
INN,Innsbruck,Austria
CGK,Jakarta,Indonesia
AJF,Jouf,Saudi Arabia
JYV,Jyvaskyla,Finland
KBL,Kabul,Afghanistan
KDO,Kadhonoo,Maldives
ZKB,Kasaba Bay,Zambia
KAW,Kawthaung,Myanmar
EFL,Kefallinia,Greece
KDI,Kendari,Indonesia
KUS,Kulusuk,Greenland
LCE,La Ceiba,Honduras
LLI,Lalibela,Ethiopia
LNB,Lamen Bay,Vanuatu
LGK,Langkawi,Malaysia
LAO,Laoag,Philippines
LRH,Larochelle,France
LTQ,Le Touquet,France
LYG,Lianyungang,China
LMM,Los Mochis,Mexico
LXG,Luang Namtha,Laos
MCP,Macapa,AP Brazil
MCZ,Maceio,AL Brazil
PTF,Malololailai,Fiji
MGA,Managua,Nicaragua
MAO,Manaus,AM Brazil
ZLO,Manzanillo,Mexico
MTS,Manzini,Swaziland
MPM,Maputo,Mozambique
MRE,Mara Lodges,Kenya
MAB,Maraba,PA Brazil
MYC,Maracay,Venezuela
MHQ,Mariehamn,Finland
AMI,Mataram,Indonesia
MUN,Maturin,Venezuela
MNU,Maulmyine,Myanmar
MOF,Maumere,Indonesia
MYG,Mayaguana,Bahamas
MKQ,Merauke,Indonesia
ETZ,Metz/Nancy,France
MMY,Miyako Jima,Japan
MGQ,Mogadishu,Somalia
MPK,Mokpo,South Korea
MTR,Monteria,Colombia
MTV,Mota Lava,Vanuatu
MVS,Mucuri,BA Brazil
MYT,Myitkyina,Myanmar
MNC,Nacala,Mozambique
NNM,Naryan-Mar,Russia
NUX,NayUrengoy,Russia
EGL,Neghelli,Ethiopia
NSN,Nelso,New Zealand
NER,Neryjungri,Russia
NRD,Norderney,Germany
NRK,Norrkoping,Sweden
GER,Nueva Gerona,Cuba
NNX,Nunukan,Indonesia
NUE,Nuremberg,Germany
OCJ,Ocho Rios,Jamaica
OKL,Oksibil,Indonesia
OSK,Oskarshamn,Sweden
JFR,Paamiut,Greenland
PAD,Paderborn,Germany
PCH,Palacios,Honduras
PLQ,Palanga,Lithuania
PMZ,Palmar,Costa Rica
PMW,Palmas,TO Brazil
PNL,Pantelleria,Italy
PMF,Parma/Milan,Italy
PEW,Peshawar,Pakistan
PSE,Ponce,Puerto Rico
POG,Port Gentil,Gabon
VLI,Port Vila,Vanuatu
PUT,Puttaparthi,India
XQP,Quepos,Costa Rica
UIH,Qui Nhon,Viet Nam
VKG,Rach Gia,Viet Nam
REC,Recife,PE Brazil
KEF,Reykjavik,Iceland
RIB,Riberalta,Bolivia
RCH,Riohacha,Colombia
VKG,Roch Gia,Viet Nam
RPN,Rosh Pina,Iceland
RVN,Rovaniemi,Finland
NMG,San Miguel,Panama
SUJ,Satu Mare,Romania
HIL,Shillavo,Ethiopia
SQG,Sintang,Indonesia
ZYL,Sylhet,Bangladesh
TIF,Taif,Saudi Arabia
TMU,Tambor,Costa Rica
TRK,Tarakan,Indonesia
TUO,Taupo,New Zealand
TMJ,Termez,Uzbekistan
TTE,Ternate,Indonesia
TBI,The Bight,Bahamas
THO,Thorshofn,Iceland
TSR,Timosoara,Romania
TKN,Tokunoshima,Japan
TOW,Toledo,PR Brazil
TJI,Trujillo,Honduras
TLE,Tulear,Madagascar
UDR,Udaipur,Indonesia
ULY,Uliastai,Mongolia
ULI,Ulithi,Micronesia
USN,Ulsan,South Korea
URA,Uralsk,Kazakhstan
UIK,Ust-Ilimsk,Russia
VHM,Vilhelmina,Sweden
VNO,Vilnius,Lithuania
VLK,Volgodonsk,Russia
WET,Wagethe,Indonesia
WAT,Waterford,Ireland
WJU,WonJu,South Korea
RSU,Yeosu,South Korea
ABS,Abu Simbel,Egypt
AEY,Akureyri,Iceland
AAY,Al Ghaydah,Yemen
ABX,Albury,Australia
ALY,Alexandria,Egypt
AUY,Aneityum,Vanuatu
ANG,Angouleme,France
ARU,Aracatuba,Brazil
AUX,Araguaina,Brazil
GYL,Argyle,Australia
AXM,Armenia,Colombia
ASF,Astrakhan,Russia
IXU,Aurangabad,India
BZI,Balikesir,Turkey
ABM,Bamaga,Australia
BKK,Bangkok,Thailand
BDU,Bardufoss,Norway
BRA,Barreiras,Brazil
BYU,Bayreuth,Germany
BEW,Beira,Mozambique
BTU,Bintulu,Malaysia
BIR,Biratragar,Nepal
RNN,Bornholm,Denmark
BQL,Boulia,Australia
BOJ,Bourgas,Bulgaria
BRK,Bourke,Australia
BME,Broome,Australia
BUD,Budapest,Hungary
BWT,Burnie,Australia
BZG,Bydgoszcz,Poland
CNS,Cairns,Australia
CSI,Casino,Australia
IXC,Chandigarh,India
CUU,Chihuahua,Mexico
CJL,Chitral,Pakistan
CJB,Coimbatore,India
CCP,Concepcion,Chile
COG,Condoto,Colombia
OTD,Contadora,Panama
CUM,Cumana,Venezuela
DAD,Da Nang,Viet Nam
DOL,Deauville,France
DNM,Denham,Australia
DTM,Dortmund,Germany
DZA,Dzaoudzi,Mayotte
EIB,Eisenach,Germany
EQS,Esquel,Argentina
FRS,Flores,Guatemala
FOR,Fortaleza,Brazil
FPO,Freeport,Bahamas
FNC,Funchal,Portugal
GEV,Gallivare,Sweden
GMB,Gambela,Ethiopia
GHE,Garachine,Panama
GDZ,Gelendzik,Russia
GHA,Ghardala,Algeria
GDQ,Gondari,Ethiopia
GND,Grenada,Grenada
GJA,Guanaja,Honduras
GUI,Guiria,Venezuela
LWN,Gyourmri,Armenia
BDA,Hamilton,Bermuda
HGA,Hargeisa,Somolia
HDY,Hat Yai,Thailand
HAU,Haugesund,Norway
HEL,Helsinki,Finland
HER,Heraklian,Greece
HBA,Hobart,Australia
HOK,Hooker,Australia
HHQ,Hualtin,Thailand
HLF,Hultsfred,Sweden
IGR,Iguazu,Argentina
ILA,Illaga,Indonesia
IPI,Ipiales,Colombia
IPE,Ipil,Philippines
JDZ,Jingdezhen,China
JPR,Ji-Parana,Brazil
JOI,Joinville,Brazil
JKG,Jonkoping,Sweden
AOK,Karpathos,Greece
KUN,Kaunas,Lithuania
KDD,Khuzdar,Pakistan
QJY,Kolobrzeg,Poland
KUA,Kuantan,Malaysia
KCH,Kuching,Malaysia
EUN,Laayoune,Morocco
LAJ,Lages,SC Brazil
LPI,Lampang,Thailand
LPA,Las Palmas,Spain
LET,Leticia,Colombia
LBV,Libreville,Gabon
LMN,Limbang,Malaysia
LPI,Linkoping,Sweden
LNE,Lonorore,Vanuatu
SJD,Los Cabos,Mexico
LUD,Luderitz,Namibia
MAQ,Mae Sot,Thailand
MKZ,Malacca,Malaysia
MNF,Mana Island,Fiji
MDC,Manado,Indonesia
