iata,city,secondary
MDL,Mandalay,Myanmar
MJA,Manja,Madagascar
MHG,Mannheim,Germany
MBX,Maribor,Slovenia
MPW,Mariupol,Ukraine
MRS,Marseille,France
MAM,Matamoros,Mexico
MJM,Mbuji Mayi,Congo
MMB,Memanbetsu,Japan
RDE,Merdey,Indonesia
MRD,Merida,Venezuela
MTT,Minatitla,Mexico
MYE,MiyakeJima,Japan
MQN,Mo I Rana,Norway
MIR,Monastir,Tunisia
ROB,Monrovia,Liberia
MTY,Monterrey,Mexico
MDG,Mudanjiang,China
DGE,Mudgee,Australia
FMO,Muenster,Germany
NBX,Nabire,Indonesia
WNP,Naga,Philippines
JNS,Narsaq,Greenland
NAT,Natal,RN Brazil
GON,New London/Groton,
NGI,Ngau Island,Fiji
IUE,Niue Island,Niue
NOJ,Nojabrxsk,Russia
TBU,Nuku'Alofa,Tonga
NCU,Nukus,Uzbekistan
OND,Ondangwa,Namibia
OSD,Ostersund,Sweden
PDG,Padang,Indonesia
PJG,Panjger,Pakistan
POL,Pemba,Mozambique
PEI,Pereira,Colombia
PGX,Perigueux,France
PGF,Perpignan,France
PLJ,Placencia,Belize
PYJ,Polyarnyj,Russia
IXZ,Port Blair,India
PZU,Port Sudan,Sudan
PAZ,Poza Rico,Mexico
RAI,Praia,Cape Verde
QRO,Queretaro,Mexico
RAT,Raduzhnyi,Russia
SZG,Salzburg,Austria
ZVK,Savannakhet,Laos
ZEG,Senggo,Indonesia
SOJ,Sorkjosen,Norway
STW,Stavropol,Russia
SVG,Stavanger,Norway
THL,Tachilek,Myanmar
TAP,Tapachula,Mexico
TMX,Timimoun,Algeria
TDD,Trinidad,Bolivia
TRD,Trondheim,Norway
UDJ,Uzhgorod,Ukraine
VLV,Valera,Venezuela
VLS,Valesdir,Vanuatu
VBV,Vanuabalavu,Fiji
VOG,Volgograd,Russia
WHF,Wadi Halfa,Sudan
WMX,Wamena,Indonesia
WSR,Wasior,Indonesia
YAO,Yaounde,Cameroon
IAR,Yaroslavl,Russia
UGU,Zugapa,Indonesia
AAL,Aalborg,Denmark
AES,Aalesund,Norway
ACA,Acapulco,Mexico
AMD,Ahmedabad,India
ALG,Algiers,Algeria
ATM,Altamira,Brazil
AMQ,Ambon,Indonesia
AGD,Anggi,Indonesia
AUC,Arauca,Colombia
ARK,Arusha,Tanzania
AKJ,Asahikawa,Japan
AUR,Aurillac,France
BAH,Bahrain,Bahrain
BAK,Baku,Azerbaijan
BBA,Balmaceda,Chile
BLR,Bangalore,India
BCN,Barcelona,Spain
BTH,Batam,Indonesia
BXM,Batom,Indonesia
EGO,Belgorod,Russia
BMD,Belo,Madagascar
BEJ,Berau,Indonesia
BBO,Berbera,Somalia
EGC,Bergerac,France
BVG,Berlevag,Norway
BDA,Bermuda,Bermuda
BDP,Bhadrapur,Nepal
BHR,Bharatpur,Nepal
BHU,Bhavnagar,India
BIQ,Biarritz,France
BLL,Billund,Denmark
BLZ,Blantyre,Malawi
BVB,Boavista,Brazil
BOG,Bogota,Colombia
BOD,Bordeaux,France
BLE,Borlange,Sweden
BSA,Bossaro,Somalia
BKZ,Bukoba,Malaysia
UUA,Bulgulma,Russia
CBQ,Calabar,Nigeria
CPE,Campeche,Mexico
CPQ,Campinas,Brazil
CAC,Cascavel,Brazil
CED,Cedun,Australia
ZBR,Chah-Bahar,Iran
CMF,Chambery,France
CGQ,Changchun,China
CZX,Changzhou,China
CTM,Chetumal,Mexico
CKG,Chongqing,China
CVC,Cleve,Australia
CAZ,Cobar,Australia
CCM,Criciuma,Brazil
CUC,Cucata,Colombia
CUL,Culiacan,Mexico
CWB,Curitiba,Brazil
DRH,Dabra,Indonesia
DLU,Dali City,China
DGA,Dangriga,Belize
DRB,Derby,Australia
DSE,Dessie,Ethiopia
DIB,Dibrugarn,India
DOD,Dodoma,Tanzania
CFN,Donegal,Ireland
DOK,Donetsk,Ukraine
DOU,Dourados,Brazil
DLA,Dovala,Cameroon
DRS,Dresden,Germany
DBO,Dubbo,Australia
DUM,Dumai,Indonesia
ELF,El Fasher,Sudan
ELU,El Oved,Algeria
ERC,Erzincan,Turkey
VDB,Fagernes,Norway
FKS,Fukushima,Japan
GOV,Garoua,Cameroon
GZT,Gaziatep,Turkey
GIL,Gilgit,Pakistan
GNB,Grenoble,France
GRY,Grimsey,Iceland
CAN,Guangzhou,China
GAO,Guantanamo,Cuba
GWD,Gwadar,Pakistan
HAD,Halmstad,Sweden
HAJ,Hanover,Germany
HRE,Harare,Zimbabwe
HMV,Hermavan,Sweden
XAK,Herning,Denmark
HUX,Huatulco,Mexico
HYD,Hyderabad,India
IBE,Ibague,Colombia
IOA,Ioannina,Greece
IPN,Ipatinga,Brazil
ISG,Ishigakij,Japan
IST,Istanbul,Turkey
ITB,Itaituba,Brazil
DJB,Jambi. Indonesia,
JGN,Jiayuguan,China
JIJ,Jijiga,Ethiopia
JIW,Jiwani,Pakistan
JOE,Joensuu,Finland
JUJ,Jujuy,Argentina
KAJ,Kajaani,Finland
KCD,Kamur,Indonesia
KAB,Kariba,Zimbabwe
BBK,Kasane,Botswana
KTM,Kathmandu,Nepal
KTW,Katowice,Poland
HJR,Khajuraho,India
HRK,Kharkov,Ukraine
TKQ,Kigoma,Tanzania
KTD,Kitadaito,Japan
KTT,Kittila,Finland
OSZ,Koszalin,Poland
CCJ,Kozhikode,India
KUT,Kutaisi,Georgia
KAO,Kuusamo,Finland
LCG,La Coruna,Spain
PLP,La Palma,Panama
LSC,La Serena,Chile
LBU,Labuan,Malaysia
LHE,Lahore,Pakistan
LMP,Lampedusa,Italy
ACE,Lanzarote,Spain
LEH,Le Havre,France
LEJ,Leipzig,Germany
LLW,Lilongwe,Malawi
LIS,Lisbon,Portugal
LOD,Longana,Vanuatu
LUW,Luwuk,Indonesia
LYC,Lyoksele,Sweden
MCH,Machala,Ecuador
MMO,Maio,Cape Verde
MQX,Makale,Ethiopia
IXE,Mangalore,India
MZO,Manzanillo,Cuba
MVR,Marova,Cameroon
MUR,Marudi,Malaysia
MMJ,Matsumoto,Japan
MYJ,Matsuyama,Japan
MZT,Mazatlan,Mexico
MES,Medan,Indonesia
MXL,Mexicali,Mexico
MIK,Mikkeli,Finland
LOV,Monclova,Mexico
MYW,Mtwara,Tanzania
MLH,Mulhouse,France
LII,Mulia,Indonesia
MUX,Multan,Pakistan
MMK,Murmansk,Russia
MUZ,Musoma,Tanzania
MWZ,Mwanza,Tanzania
MJT,Mytilene,Greece
EMN,Nema,Mauritania
NFO,Niuafo'ou,Tonga
NSK,Noril'sk,Russia
NVR,Novgorod,Russia
OBD,Obano,Indonesia
OHD,Ohrid,Macedonia
OKQ,Okaba,Indonedia
REN,Orenburg,Russia
ORW,Ormara,Pakistan
OGX,Ouargla,Algeria
PQM,Palenque,Mexico
PEN,Penang,Malaysia
HKT,Phuket,Thailand
PIF,Pingtung,Taiwan
PXU,Pleiku,Viet Nam
PLV,Poltava,Ukraine
PBD,Porbandar,India
UET,Quetta,Pakistan
UIB,Quibdo,Colombia
UNN,Ranong,Thailand
REX,Reynossa,Mexico
RTB,Roatan,Honduras
SLY,Salehard,Russia
SLW,Saltillo,Mexico
ZRM,Sarmi,Indonesia
ZRI,Servi,Indonesia
SZM,Sesriem,Namibia
SNN,Shannon,Ireland
NKD,Sinak,Indonesia
JSI,Skiathos,Greece
SOO,Soderham,Sweden
SOG,Sognolal,Norway
SOD,Sorocaba,Brazil
SQO,Storuman,Sweden
SVJ,Svolvaer,Norway
SZZ,Szczecin,Poland
TBJ,Tabarka,Tunisia
TBO,Tabora,Tanzania
TXG,Taichung,Taiwan
TLL,Tallinn,Estonia
TMP,Tampere,Finland
TNG,Tangier,Morocco
TRA,Taramajma,Japan
TRW,Tarawa,Kiribati
TBS,Tbilisi,Georgia
TCH,Tchibanga,Gabon
TFF,Tefe,AM Brazil
TLV,Tel Aviv,Israel
TET,Tete,Mozambique
SNW,Thandwe,Myanmar
TIN,Tindouf,Algeria
TOD,Tioman,Malaysia
TLM,Tlemcen,Algeria
TKS,Tokushima,Japan
TOM,Tombouctou,Mali
TLS,Toulouse,France
TKK,Truk,Micronesia
TCO,Tumaco,Colombia
TUK,Turbat,Pakistan
UUD,Ulan-Ude,Russia
UTP,Utapao,Thailand
VRK,Varkaus,Finland
VST,Vasteras,Sweden
VER,Veracruz,Mexico
VTB,Vitebsk,Belarus
VOZ,Voronezh,Russia
WBA,Wahai,Indonesia
EVN,Yerevan,Armenia
RNJ,Yoronjima,Japan
ZHA,Zhanjiang,China
AGA,Agadir,Morocco
IXA,Agartala,India
AJA,Ajaccio,France
AAC,Al Arish,Egypt
ALC,Alicante,Spain
ASV,Amboseli,Kenya
AMV,Amderma,Russia
ATQ,Amritsar,India
ANX,Andenes,Norway
ASD,Andros,Bahamas
AAE,Annaba,Algeria
AYT,Antalya,Turkey
AAG,Arapoti,Brazil
ASM,Asmara,Eritrea
AVN,Avignon,France
BXB,Babo,Indonesia
BXD,Bade,Indonesia
IXB,Bagdogra,India
BNP,Bannu,Pakistan
BBN,Bario,Malaysia
BAX,Barnaul,Russia
BUS,Batumi,Georgia
CBH,Bechar,Algeria
BEI,Beica,Ethiopia
BEY,Beirut,Lebanon
BJA,Bejaia,Algeria
BEN,Benghazi,Libya
BZR,Beziers,France
BWA,Bhairawa,Nepal
BIK,Biak,Indonesia
BMU,Bima,Indonesia
BIM,Bimini,Bahamas
NSB,Bimini,Bahamas
BSK,Biskra,Algeria
BMK,Borkum,Germany
BRE,Bremen,Germany
BDS,Brindisi,Italy
UUA,Bugulma,Russia
CAG,Cagliari,Italy
CJA,Cajamarca,Peru
CCU,Calcutta,India
CKS,Carajas,Brazil
DCM,Castres,France
CHG,Chaoyang,China
XAP,Chapeco,Brazil
CMJ,Chi Mei,Taiwan
CIP,Chipata,Zambia
CIJ,Cobija,Bolivia
CUQ,Coen,Australia
CKY,Conakry,Guinea
CZE,Coro,Venezuela
CZH,Corozal,Belize
CMG,Corumba,Brazil
CZM,Cozumel,Mexico
CUE,Cuenca,Ecuador
VIL,Dakhla,Morocco
DLM,Dalaman,Turkey
DNZ,Denizli,Turkey
DIL,Dili,Indonesia
DJG,Djanet,Algeria
DJE,Djerba,Tunisia
DOB,Dobo,Indonesia
DUB,Dublin,Ireland
DNH,Dunhuang,China
DGO,Durango,Mexico
EDO,Edremit,Turkey
EBD,El Obeid,Sudan
ELE,El Real,Panama
ENE,Ende,Indonesia
EBB,Entebbe,Uganda
ERF,Erfurt,Germany
ERZ,Erzurum,Turkey
EWE,Ewer,Indonesia
GWY,Galway,Ireland
GAU,Gawahati,India
GEB,Gebe,Indonesia
LTD,Ghadames,Libya
GYN,Goiania,Brazil
GOV,Gove,Australia
GYM,Guaymas,Mexico
HFS,Hagfors,Sweden
HKD,Hakodate,Japan
HGH,Hangzhou,China
HZG,Hanzhang,China
HTR,Hateruma,Japan
HOD,Hodeidah,Yemen
HOR,Horta,Portugal
HYN,Huargyan,China
HRG,Hurghada,Egypt
IGA,Inagua,Bahamas
IKT,Irkutsk,Russia
IZT,Ixtepec,Mexico
JGA,Jamnagar,India
JKR,Janakpur,Nepal
JIM,Jimma,Ethiopia
JHG,Jinghong,China
JJN,Jinjiang,China
BCO,Jinka,Ethiopia
JHB,Johor,Malaysia
KDL,Kardia,Estonia
ASR,Kayseri,Turkey
CFU,Kerkyra,Greece
FIH,Kinshasa,Congo
KBV,Krabi,Thailand
KUD,Kudat,Malaysia
UEO,Kumejima,Japan
KUO,Kuopio,Finland
LPB,La Paz,Bolivia
LKL,Lakselv,Norway
LAI,Lannion,France
LHW,Lanzhau,Guinea
LCA,Larnaca,Cyprus
LWY,Lawas,Malaysia
ZLN,Le Mans,France
LIG,Limoges,France
LDI,Lindi,Tanzania
LRT,Lorient,France
VSG,Lugansk,Uganda
FBM,Lumbashi,Congo
MFA,Mafia,Tanzania
GDX,Magadan,Russia
MLX,Malatya,Turkey
MSU,Maseru,Lesotho
MDK,Mbandaka,Congo
NDM,Mendi,Ethiopia
JMK,Mikonos,Greece
MRA,Misurata,Libya
MBE,Monbetsu,Japan
MLM,Morelia,Mexico
HAH,Moroni,Comoros
MJF,Mosjoen,Norway
MPA,Mpacha,Namibia
MKM,Mukan,Malaysia
MUC,Munich,Germany
NGS,Nagasaki,Japan
NAL,Nalchik,Russia
NAO,Nanchong,China
NEG,Negril,Jamaica
NVA,Neiva,Colombia
NIC,Nicosia,Cyprus
NUS,Norsup,Vanuatu
GOH,Nuuk,Greenland
NYU,Nyaung,Myanmar
ZBQ,Odense,Denmark
ODS,Odessa,Ukraine
OHO,Okhotsk,Russia
OIR,Okoshiri,Japan
OMR,Oradea,Romania
OSI,Osijek,Croatia
PLW,Palu,Indonesia
PNA,Pamplona,Spain
PSI,Pasni,Pakistan
PSO,Pasto,Colombia
PEX,Pechora,Russia
PRH,Phrae,Thailand
OPO,Porto,Portugal
UIP,Quimper,France
RJN,Rafsanjan,Iran
RJK,Rijeka,Croatia
RVK,Roervik,Norway
RNB,Ronneby,Sweden
SCL,Santiago,Chile
RTW,Saratov,Russia
ZBY,Sayaboury,Laos
PVG,Shanghai,China
SZX,Shenzhen,China
AKY,Sittwe,Myanmar
SOF,Sofia,Bulgaria
SXR,Srinagar,India
TTT,Taitung,Taiwan
TAM,Tampico,Mexico
TJA,Tarija,Bolivia
TWU,Tawau,Malaysia
TEE,Tbessa,Algeria
TTU,Tetuan,Morocco
TID,Tiaret,Algeria
TIJ,Tijuana,Mexico
TIE,Tippi,Ethiopia
TIA,Tirana,Albania
TIR,Tirupati,India
TGO,Tongliao,China
TGH,Tongoa,Vanuatu
TRC,Torreon,Mexico
TOH,Torres,Vanuatu
TOE,Tozeur,Tunisia
TZX,Trabzon,Turkey
TST,Trang,Thailand
TIP,Tripoli,Latvia
TSB,Tsumeb,Namibia
TSJ,Tsushima,Japan
TUA,Tulcan,Ecuador
UPN,Uruapan,Mexico
UII,Utila,Honduras
BDQ,Vadodara,India
ZAL,Valdivia,Chile
VLC,Valencia,Spain
VNS,Varanasi,India
VAR,Varna,Bulgaria
VIE,Vienna,Austria
BVH,Vilhena,Brazil
VKT,Vorkuta,Russia
WKJ,Wakkanai,Japan
WLH,Walaha,Vanuatu
WRO,Wroclaw,Poland
WUS,Wuyishan,China
XFN,Xiangfan,China
XIL,Xilinhot,China
YKS,Yakutsk,Russia
GAJ,Yamagata,Japan
YNZ,Yancheng,China
RGN,Yangon,Myanmar
YAP,Yap,Micronesia
INC,Yinchuan,China
ZAG,Zagreb,Croatia
ZAT,Zhaotong,China
CGO,Zhengzha,China
HSN,Zhoushan,China
IEG,Zielana,Poland
ABA,Abakan,Russia
ABV,Abuja,Nigeria
AZR,Adrar,Algeria
AHO,Alghero,Italy
LEI,Almeria,Spain
DYR,Anadyr,Russia
AWD,Aniwa,Vanuatu
NCY,Annecy,France
AQP,Arequipa,Peru
ASO,Asosa,Ethopia
ATH,Athens,Greece
BJZ,Badajcz,Spain
BJL,Banjul,Gambia
BSD,Baoshan,China
BIA,Bastia,France
BAL,Batman,Turkey
BLJ,Batna,Algeria
PEK,Beijing,China
BGO,Bergen,Norway
BMO,Bhamo,Myanmar
BJV,Bodrum,Turkey
BZO,Bolzano,Italy
BTK,Bratsk,Russia
BUO,Burao,Somalia
CLO,Cali,Colombia
CMW,Camaguey,Cuba
CAW,Campos,Brazil
CUN,Cancun,Mexico
CST,Castaway,Fiji
CTA,Catania,Italy
CGD,Changde,China
CHQ,Chania,Greece
MAA,Chennai,India
CTU,Chergdu,China
CYI,Chiayi,Taiwan
CIF,Chifeng,China
YAI,Chillan,Chile
CTD,Chitre,Panama
CLQ,Colima,Mexico
CPO,Copiapo,Chile
COC,Cotarou,Benin
CRV,Crotone,Italy
CGB,Cuiaba,Brazil
DKR,Dakar,Senegal
DMU,Dimapur,India
DNR,Dinard,France
DOG,Dongola,Sudan
EZS,Elazig,Turkey
EDL,Eldoret,Kenya
ESL,Elista,Russia
ENU,Enugu,Nigeria
EPL,Epinal,France
FAO,Faro,Portugal
FSC,Figari,France
FRC,Franca,Brazil
FUK,Fukuoka,Japan
GAF,Gafsa,Tunisia
GDN,Gdansk,Poland
EGN,Geneina,Sudan
GOB,Goba,Ethiopia
GOR,Gore,Ethiopia
GRX,Granada,Spain
KWE,Gulyang,China
GWL,Gwalior,India
HAA,Hasvik,Norway
HOE,Houeisay,Laos
IAA,Igarka,Russia
IOS,Ilheus,Brazil
IUL,Ilu,Indonesia
IPH,Ipoh,Malaysia
IPA,Ipota,Vanuatu
IQQ,Iquique,Chile
IVL,Ivalo,Finland
ZIH,Ixtapa,Mexico
JAL,Jalapa,Mexico
JMU,Jiamusi,China
GJL,Jijel,Algeria
JNZ,Jinzhou,China
JDH,Jodhpur,India
JUI,Juist,Germany
KAA,Kasama,Zambia
KVA,Kavala,Greece
KZN,Kazan,Russia
KGL,Kigali,Rwanda
NOC,Knock,Ireland
CCU,Kolkata,India
KRK,Krakow,Poland
KUH,Kushiro,Japan
KWI,Kuwait,Kuwait
LAP,La Paz,Mexico
LOS,Lagos,Nigeria
LPM,Lamap,Vanuatu
ZGC,Lanzhou,China
LTK,Latakia,Syria
LAD,Luanda,Angola
LPY,Le Puy,France
LKN,Leknes,Norway
LXS,Lemnos,Greece
LGG,Liege,Belgium
LZH,Liuzhou,China
LTO,Loreto,Mexico
LAD,Luanda,Angola
LKO,Lucknow,India
LYA,Luoyang,China
LUN,Lusaka,Zambia
XMS,Macas,Ecuador
IXM,Madurai,India
MWF,Maewo,Vanuatu
MKU,Makokou,Gabon
MZG,Makung,Taiwan
MAK,Malakai,Sudan
MLE,Male,Maldives
MYD,Malindi,Kenya
MEC,Manta,Ecuador
MUB,Maun,Botswana
MEH,Mehamn,Norway
MXZ,Meixian,China
MLN,Melilla,Spain
MAH,Menorca,Spain
MID,Merida,Mexico
MYY,Miri,Malaysia
MJZ,Mirnyj,Russia
MBA,Mombasa,Kenya
HNA,Morioka,Japan
MZV,Mulu,Malaysia
MGZ,Myeik,Myanmar
NDR,Nadar,Morocco
OSY,Namsos,Norway
NNG,Nanning,China
NTG,Nantong,China
NNY,Nanyang,China
NYK,Nanyuki,Kenya
NVK,Narvik,Norway
NDJ,Ndjamena,Chad
OAX,Oaxaca,Mexico
OBO,Obihiro,Japan
OKJ,Okayama,Japan
OKA,Okinawa,Japan
OLJ,Olpoi,Vanuatu
ODY,Oudomxay,Laos
OUD,Oujda,Morocco
PBJ,Paama,Vanuatu
PAF,Pakuba,Uganda
PFO,Paphos,Cyprus
GPA,Patras,Greece
PEG,Perugia,Italy
PSR,Pescara,Italy
PKR,Pokhara,Nepal
POZ,Poznan,Poland
PCL,Pucallpa,Peru
PBC,Puebla,Mexico
TAO,Qingdao,China
NDG,Qiqihar,China
UIO,Quito,Ecuador
RBA,Rabat,Morocco
RNS,Rennes,France
RIS,Rishiri,Japan
ZXM,Rognan,Norway
ROV,Rostov,Russia
KUF,Samara,Russia
UAS,Samburu,Kenya
SVU,Savusavu,Fiji
SWA,Shantou,China
IXS,Silchar,India
KVB,Skovde,Sweden
SXL,Sligo,Ireland
SPU,Split,Croatia
SRE,Sucre,Bolivia
TCG,Tacheng,China
TNN,Tainan,Taiwan
TYN,Taiyuan,China
TAH,Tanna,Vanuatu
TAR,Taranto,Italy
TPP,Tarapoto,Peru
TLC,Toluco,Mexico
TYF,Torsby,Sweden
TTB,Tortoli,Italy
TTJ,Tottori,Japan
TLN,Toulon,France
TPS,Trapani,Italy
TRS,Trieste,Italy
TOS,Tromso,Norway
TRU,Trujillo,Peru
TUN,Tunis,Tunisia
TKU,Turku,Finland
TJM,Tyumen,Russia
HLH,Ulanhot,China
USK,Usinsk,Russia
VAA,Vaasa,Finland
VAW,Vardoe,Norway
VRA,Varadero,Cuba
WXN,Wanxian,China
WAW,Warsaw,Poland
WNZ,Wenzhou,China
XIC,Xichang,China
EYL,Yelimane,Mali
YIH,Yichang,China
ZAD,Zadar,Croatia
PZH,Zhob,Pakistan
ADA,Adana,Turkey
AJL,Aizawl,India
AAQ,Anapa,Russia
AOI,Ancona,Italy
AQG,Anging,China
AKA,Ankang,China
AOJ,Aomori,Japan
AQJ,Aqaba,Jordan
AJU,Araca,Brazil
ARW,Arad,Romania
ADU,Ardabil,Iran
ATZ,Assiut,Egypt
BPX,Bangda,China
BAV,Baotou,China
BCA,Baracoa,Cuba
BUZ,Bashehr,Iran
BAU,Bauru,Brazil
BHY,Beihai,China
BEL,Belem,Brazil
BHO,Bhopal,India
BIO,Bilbao,Spain
BJB,Bojnord,Iran
BOM,Bombay,India
BNJ,Bonn,Germany
BES,Brest,France
CJC,Calama,Chile
CLY,Calvi,France
CIX,Chicayo,Peru
HTA,Chita,Russia
CLJ,Cluj,Romania
COK,Cochin,India
ONX,Colon,Panama
ORK,Cork,Ireland
DLC,Dalian,China
DAV,David,Panama
TVY,Dawe,Myanmar
DAX,Daxian,China
DYG,Dayang,China
DIJ,Dijon,France
EAE,Emae,Vanuata
ECN,Ercan,Cyprus
FRO,Floro,Norway
FOG,Foggia,Italy
FDE,Forde,Norway
FUG,Fuyang,China
FOC,Fuzhou,China
ZGU,Gaua,Vanuatu
GRO,Gerona,Spain
GOQ,Golmud,China
GUD,Goundam,Mali
GRZ,Graz,Austria
KWL,Guilin,China
HFA,Haifa,Israel
HAK,Haikou,China
HLD,Hailar,China
HRB,Harbin,China
HEH,Heno,Myanmar
HET,Hohhot,China
HOG,Holguin,Cuba
HUI,Hue,Viet Nam
IAS,Iasi,Romania
IMF,Imphal,India
IDR,Indore,India
IQT,Iquitos,Peru
IFN,Isfahan,Iran
ADB,Izmir,Turkey
JAI,Jaipur,India
JQE,Jaque,Panama
JIN,Jinja,Uganda
JMO,Jomsom,Nepal
JRH,Jorhat,India
JUL,Juliaca,Peru
KAN,Kano,Nigeria
UVL,Kharga,Egypt
KWY,Kiwayu,Kenya
KYA,Konya,Turkey
AKF,Kufrah,Libya
KYZ,Kyzyl,Russia
LNZ,Linz,Austria
LOH,Loja,Ecuador
LLA,Lulea,Sweden
LZO,Luzhou,China
LWO,Lvov,Ukraine
MAD,Madrid,Spain
AGP,Malaga,Spain
MMX,Malmo,Sweden
NGX,Manang,Nepal
MNR,Mangu,Zambia
MWE,Merave,Sudan
MFU,Mfume,Zambia
MSJ,Misawa,Japan
MNB,Moanda,Congo
MFF,Moanda,Gabon
MOL,Molde,Norway
MJL,Mouila,Gabon
BOM,Mumbai,India
MJV,Murcia,Spain
ZZU,Mzuzu,Malawi
NYM,Nadym,Russia
NGO,Nagoya,Japan
NAG,Nagpur,India
NNT,Nan,Thailand
NAP,Naples,Italy
MAT,Natadi,Congo
NLA,Ndola,Zambia
NIM,Niamey,Niger
FNI,Nimes,France
NGB,Ningbo,China
OMB,Omboue,Gabon
ORN,Oran,Algeria
OIM,Oshima,Japan
OTU,Otu,Colombia
OUL,Oulu,Finland
POR,Pori,Finland
PUY,Pula,Croatia
RAJ,Rajkot,India
IXR,Ranchi,India
RHO,Rhodes,Gabon
RMI,Rimini,Italy
RNE,Roane,France
RDZ,Rodez,France
RRS,Roros,Norway
URO,Rouen,France
SMI,Samos,Greece
SAH,Sana'a,Yemen
SSR,Sara,Vanuatu
GXF,Seiyun,Yemen
QFK,Selje,Norway
SYO,Shonai,Japan
VAS,Sivas,Turkey
SUL,Sui,Pakistan
TVU,Taveuni,Fiji
ZCO,Temuco,Chile
TPQ,Tepic,Mexico
TEZ,Tezpur,India
JTR,Thira,Greece
TSN,Tianjn,China
IKS,Tiksi,Russia
TOB,Tobruk,Libya
TOF,Tomsk,Russia
TUF,Tours,France
TOY,Toyama,Japan
TUJ,Tum,Ethiopia
UCT,Ukhta,Russia
ULB,Ulei,Vanuatu
URC,Urumqi,China
VDS,Vadso,Norway
YVR,Vancouver,BC
VAV,Vava'u,Tonga
VXO,Vaxjo,Sweden
VRN,Verona,Italy
VBY,Visby,Sweden
WEH,Weihai,China
WOT,Wonan,Taiwan
XMN,Xiamen,China
XNN,Xining,China
XUZ,Xuzhou,China
ENY,Yan'an,China
YNT,Yantai,China
YIN,Yining,China
YGJ,Yonago,Japan
ZAH,Zahedan,Iran
ZUH,Zhuhai,China
ABD,Abadan,Iran
ACC,Accra,Ghana
AGF,Agen,France
AJI,Agri,Turkey
AGJ,Aguni,Japan
AXT,Akita,Japan
ALF,Alta,Norway
AAT,Altay,China
AOT,Aosta,Italy
ARI,Arica,Chile
RUA,Arua,Uganda
AUA,Aruba,Aruba
ASW,Aswan,Egypt
BKO,Bamako,Mali
BYM,Bayamo,Cuba
BOO,Bodo,Norway
BWK,Bol,Croatia
BCQ,Brack,Libya
LEV,Bureta,Fiji
CFR,Caen,France
CAI,Cairo,Egypt
DEL,Delhi,India
ENH,Enshi,China
FEZ,Fez,Morocco
FUJ,Fukue,Japan
GAX,Gamba,Gabon
GOA,Genoa,Italy
ULU,Gulu,Uganda
HPA,HaApa,Tonga
HAV,Havana,Cuba
HFE,Hefei,China
HOQ,Hof,Germany
HTN,Hotan,China
IBZ,Ibiza,Spain
INA,Inta,Russia
IWJ,Iwami,Japan
IZO,Izumo,Japan
TNA,Jinan,China
IXJ,Jommu,India
JUZ,Juzha,China
KCZ,Kochi,Japan
ROR,Koror,Palau
LBS,Labasa,Fiji
LKB,Lakeba,Fiji
BJX,Leon,Mexico
LXA,Lhasa,China
LYI,Linyi,China
LUA,Lukla,Nepal
LXR,Luxor,Egypt
MFM,Macau,China
MLA,Malta,Malta
MHD,Mashad,Iran
MXX,Mora,Sweden
MCT,Muscat,Oman
NCE,Nice,France
NIX,Nioko,Congo
UYL,Nyala,Sudan
OLB,Olbia,Italy
OMS,Omsk,Russia
OSW,Orsk,Russia
OSL,Oslo,Norway
VDA,Ovda,Israel
PBH,Paro,Bhutan
PAT,Patna,India
PEE,Perm,Russia
IQM,Qiemo,China
RBJ,Rebun,Japan
RIX,Riga,Latvia
RET,Rost,Norway
SYX,Sanya,China
SYZ,Shiraz,Iran
SYM,Simao,China
EVG,Sveg,Sweden
TBZ,Tabriz,Iran
TBP,Tumbes,Peru
TXN,Tunxi,China
TRN,Turin,Italy
UME,Umea,Sweden
URJ,Uraj,Russia
OMH,Urmieh,Iran
WUH,Wuhan,China
YNJ,Yanji,China
YBP,Yibin,China
UYN,Yulin,China
ADE,Aden,Yemen
AGR,Agra,India
AWZ,Ahwaz,Iran
AKU,Aksu,China
AXK,Ataq,Yemen
BRI,Bari,Italy
BHJ,Bhuj,India
BOA,Boma,Congo
ICI,Cicia,Fiji
CUZ,Cuzco,Peru
DOH,Doha,Qatar
ETH,Elat,Italy
GHT,Ghat,Libya
GZM,Gozo,Malta
HUQ,Houn,Libya
LAU,Lamu,Kenya
LUM,Luxi,China
MFJ,Moala,Fiji
MZI,Mopti,Mali
MSR,Mus,Turkey
OIT,Oita,Japan
OYE,Oyem,Gabon
PKZ,Pakse,Laos
PUF,Pau,France
PIU,Piura,Peru
PNQ,Pune,India
RAS,Rasht,Iran
TCP,Taba,Egypt
TCQ,Tacna,Peru
TAI,Taiz,Yemen
UFA,Ufa,Russia
VAN,Van,Turkey
VGO,Vigo,Spain
YIW,Yiwu,China
DIU,Div,India
GOI,Goa,India
IXL,Leh,India
LIM,Lima,Peru
LFW,Lome,Togo
NAN,Nadi,Fiji
SUV,Suva,Fiji
UBJ,Ube,Japan
WUU,Wau,Sudan
AZD,Yazd,Iran
BXR,Bam,Iran
AMO,Mao,Chad
MOA,Moa,Cuba
GUM,Guam,